"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","3/27/18","11:30:00","","","USGS-02086837","Routine sample","Stable, normal stage","Inorganic nitrogen (nitrate and nitrite)","Dissolved","2.27","Accepted","Actual"
"USGS-NC","6/10/14","9:30:00","","","USGS-02086849","Routine sample","Not determined","Inorganic nitrogen (nitrate and nitrite)","Dissolved","2.32","Accepted","Actual"
"USGS-NC","5/12/14","16:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Inorganic nitrogen (nitrate and nitrite)","Dissolved","2.58","Accepted","Actual"
"USGS-NC","3/27/18","9:30:00","","","USGS-02086833","Routine sample","Stable, normal stage","Inorganic nitrogen (nitrate and nitrite)","Dissolved","2.69","Accepted","Actual"
"USGS-NC","5/9/83","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Inorganic nitrogen (nitrate and nitrite)","Dissolved","3","Historical","Actual"
"USGS-NC","5/29/14","12:20:00","","","USGS-02086849","Routine sample","Not determined","Inorganic nitrogen (nitrate and nitrite)","Dissolved","3.29","Accepted","Actual"
"USGS-NC","4/16/87","11:00:00","","","USGS-02086849","Routine sample","Falling stage","Phosphate-phosphorus","Total","0.399","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","","","USGS-02086849","Flood","Rising stage","Phosphate-phosphorus","Total","0.46","Historical","Actual"
"USGS-NC","11/21/85","15:00:00","","","USGS-02086849","Flood","Falling stage","Phosphate-phosphorus","Total","0.552","Historical","Actual"
"USGS-NC","8/18/85","19:45:00","","","USGS-02086849","Flood","Rising stage","Phosphate-phosphorus","Total","0.552","Historical","Actual"
"USGS-NC","2/24/87","9:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphate-phosphorus","Total","0.583","Historical","Actual"
"USGS-NC","4/23/84","9:35:00","","","USGS-02086849","Routine sample","Falling stage","Phosphate-phosphorus","Total","0.613","Historical","Actual"
"USGS-NC","12/6/83","16:05:00","","","USGS-02086849","Flood","Falling stage","Phosphate-phosphorus","Total","0.613","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Phosphate-phosphorus","Total","0.675","Historical","Actual"
"USGS-NC","12/16/82","14:40:00","","","USGS-02086849","Routine sample","Not determined","Phosphate-phosphorus","Total","0.981","Historical","Actual"
"USGS-NC","12/16/82","11:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphate-phosphorus","Total","0.981","Historical","Actual"
"USGS-NC","7/28/86","9:45:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","10.7","Historical","Actual"
"USGS-NC","7/24/84","12:30:00","","","USGS-02086849","Routine sample","Rising stage","Phosphate-phosphorus","Total","12","Historical","Actual"
"USGS-NC","10/23/85","10:45:00","","","USGS-02086849","Routine sample","Falling stage","Phosphate-phosphorus","Total","12.3","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphate-phosphorus","Total","1.32","Historical","Actual"
"USGS-NC","5/28/86","9:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","13.2","Historical","Actual"
"USGS-NC","5/18/87","9:45:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphate-phosphorus","Total","14.1","Historical","Actual"
"USGS-NC","10/28/86","9:30:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphate-phosphorus","Total","14.7","Historical","Actual"
"USGS-NC","5/21/84","11:00:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","15.6","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","15.9","Historical","Actual"
"USGS-NC","11/24/86","8:30:00","","","USGS-02086849","Routine sample","Falling stage","Phosphate-phosphorus","Total","16.3","Historical","Actual"
"USGS-NC","6/18/86","10:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","16.6","Historical","Actual"
"USGS-NC","4/30/85","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Phosphate-phosphorus","Total","17.5","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","18.1","Historical","Actual"
"USGS-NC","9/24/85","14:00:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","18.7","Historical","Actual"
"USGS-NC","9/23/86","10:15:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","19.9","Historical","Actual"
"USGS-NC","3/28/84","10:55:00","","","USGS-02086849","Routine sample","Rising stage","Phosphate-phosphorus","Total","4.29","Historical","Actual"
"USGS-NC","2/20/85","15:50:00","","","USGS-02086849","Routine sample","Rising stage","Phosphate-phosphorus","Total","6.13","Historical","Actual"
"USGS-NC","12/4/84","14:40:00","","","USGS-02086849","Routine sample","Rising stage","Phosphate-phosphorus","Total","6.44","Historical","Actual"
"USGS-NC","3/26/85","9:35:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphate-phosphorus","Total","7.05","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphate-phosphorus","Total","8.28","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Phosphate-phosphorus","Total","8.59","Historical","Actual"
"USGS-NC","12/17/85","9:35:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphate-phosphorus","Total","8.59","Historical","Actual"
"USGS-NC","5/29/14","12:20:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.015","Accepted","Actual"
"USGS-NC","3/27/18","9:30:00","","","USGS-02086833","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.04","Accepted","Actual"
"USGS-NC","3/27/18","11:30:00","","","USGS-02086837","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.042","Accepted","Actual"
"USGS-NC","1/30/12","11:50:00","","","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.053","Preliminary","Actual"
"USGS-NC","7/20/11","11:00:00","","","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.064","Preliminary","Actual"
"USGS-NC","11/28/11","11:30:00","","","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.07","Preliminary","Actual"
"USGS-NC","9/2/11","12:55:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.083","Preliminary","Actual"
"USGS-NC","7/12/16","14:40:00","","","USGS-02086845","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.117","Accepted","Actual"
"USGS-NC","7/12/16","14:10:00","","","USGS-02086843","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.119","Accepted","Actual"
"USGS-NC","6/29/12","12:40:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.12","Preliminary","Actual"
"USGS-NC","7/12/16","13:00:00","","","USGS-02086839","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.122","Accepted","Actual"
"USGS-NC","7/12/16","10:25:00","","","USGS-02086833","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.133","Accepted","Actual"
"USGS-NC","12/29/11","11:15:00","","","USGS-0208675010","Routine sample","Falling stage","Orthophosphate","Dissolved","0.139","Preliminary","Actual"
"USGS-NC","9/28/11","11:45:00","","","USGS-0208675010","Routine sample","Falling stage","Orthophosphate","Dissolved","0.146","Preliminary","Actual"
"USGS-NC","5/14/11","17:15:00","5/14/11","17:30:59","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.147","Accepted","Actual"
"USGS-NC","7/12/16","11:20:00","","","USGS-360211078513701","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.148","Accepted","Actual"
"USGS-NC","6/10/14","9:30:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.149","Accepted","Actual"
"USGS-NC","5/30/12","12:30:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.153","Preliminary","Actual"
"USGS-NC","5/12/14","16:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.154","Accepted","Actual"
"USGS-NC","4/15/14","10:50:00","","","USGS-02086849","Routine sample","Stable, high stage","Orthophosphate","Dissolved","0.171","Accepted","Actual"
"USGS-NC","1/6/09","11:15:00","","","USGS-02086849","Storm","Peak stage","Orthophosphate","Dissolved","0.178","Accepted","Actual"
"USGS-NC","8/18/85","19:45:00","","","USGS-02086849","Flood","Rising stage","Orthophosphate","Dissolved","0.245","Historical","Actual"
"USGS-NC","11/11/09","11:00:00","","","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.269","Accepted","Actual"
"USGS-NC","1/18/06","9:30:00","","","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.3","Accepted","Actual"
"USGS-NC","9/26/08","11:15:00","","","USGS-02086849","Storm","Falling stage","Orthophosphate","Dissolved","0.309","Accepted","Actual"
"USGS-NC","11/21/85","15:00:00","","","USGS-02086849","Flood","Falling stage","Orthophosphate","Dissolved","0.337","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","","","USGS-02086849","Flood","Rising stage","Orthophosphate","Dissolved","0.399","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Orthophosphate","Dissolved","0.46","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.46","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","","","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","15.9","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","","","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","18.1","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","7.7","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Orthophosphate","Dissolved","8.59","Historical","Actual"
"USGS-NC","7/20/11","11:00:00","","","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.039","Preliminary","Actual"
"USGS-NC","9/2/11","12:55:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Phosphorus","Total","0.056","Preliminary","Actual"
"USGS-NC","11/28/11","11:30:00","","","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.057","Preliminary","Actual"
"USGS-NC","1/30/12","11:50:00","","","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.059","Preliminary","Actual"
"USGS-NC","6/29/12","12:40:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Phosphorus","Total","0.074","Preliminary","Actual"
"USGS-NC","7/12/16","13:00:00","","","USGS-02086839","Routine sample","Stable, normal stage","Phosphorus","Total","0.076","Accepted","Actual"
"USGS-NC","7/12/16","14:10:00","","","USGS-02086843","Routine sample","Stable, normal stage","Phosphorus","Total","0.08","Accepted","Actual"
"USGS-NC","5/29/14","12:20:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.081","Accepted","Actual"
"USGS-NC","7/12/16","14:40:00","","","USGS-02086845","Routine sample","Stable, normal stage","Phosphorus","Total","0.081","Accepted","Actual"
"USGS-NC","12/29/11","11:15:00","","","USGS-0208675010","Routine sample","Falling stage","Phosphorus","Total","0.092","Preliminary","Actual"
"USGS-NC","12/21/17","10:05:00","","","USGS-0208675009","Routine sample","Falling stage","Phosphorus","Total","0.092","Accepted","Actual"
"USGS-NC","5/30/12","12:30:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Phosphorus","Total","0.096","Preliminary","Actual"
"USGS-NC","7/12/16","10:25:00","","","USGS-02086833","Routine sample","Stable, normal stage","Phosphorus","Total","0.097","Accepted","Actual"
"USGS-NC","7/12/16","11:20:00","","","USGS-360211078513701","Routine sample","Stable, normal stage","Phosphorus","Total","0.11","Accepted","Actual"
"USGS-NC","5/12/14","16:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","0.124","Accepted","Actual"
"USGS-NC","9/28/11","11:45:00","","","USGS-0208675010","Routine sample","Falling stage","Phosphorus","Total","0.128","Preliminary","Actual"
"USGS-NC","6/10/14","9:30:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.132","Accepted","Actual"
"USGS-NC","7/8/17","20:21:00","","","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.173","Accepted","Actual"
"USGS-NC","8/18/85","19:45:00","","","USGS-02086849","Flood","Rising stage","Phosphorus","Total","0.19","Historical","Actual"
"USGS-NC","2/24/87","9:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","0.21","Historical","Actual"
"USGS-NC","12/6/83","16:05:00","","","USGS-02086849","Flood","Falling stage","Phosphorus","Total","0.21","Historical","Actual"
"USGS-NC","1/12/18","22:05:00","","","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.254","Accepted","Actual"
"USGS-NC","4/16/87","11:00:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.27","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.27","Historical","Actual"
"USGS-NC","8/13/17","7:15:00","","","USGS-0208675009","Storm","Falling stage","Phosphorus","Total","0.27","Accepted","Actual"
"USGS-NC","6/5/17","21:03:00","","","USGS-0208675009","Storm","Rising stage","Phosphorus","Total","0.276","Accepted","Actual"
"USGS-NC","10/8/16","14:15:00","","","USGS-0208675009","Storm","Rising stage","Phosphorus","Total","0.326","Accepted","Actual"
"USGS-NC","4/23/84","9:35:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.33","Historical","Actual"
"USGS-NC","1/6/09","11:15:00","","","USGS-02086849","Storm","Peak stage","Phosphorus","Total","0.36","Accepted","Actual"
"USGS-NC","9/26/08","11:15:00","","","USGS-02086849","Storm","Falling stage","Phosphorus","Total","0.364","Accepted","Actual"
"USGS-NC","11/13/17","4:52:00","","","USGS-0208675009","Storm","Falling stage","Phosphorus","Total","0.371","Accepted","Actual"
"USGS-NC","11/11/09","11:00:00","","","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.41","Accepted","Actual"
"USGS-NC","12/6/83","10:05:00","","","USGS-02086849","Flood","Rising stage","Phosphorus","Total","0.41","Historical","Actual"
"USGS-NC","5/25/17","4:25:00","","","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.413","Accepted","Actual"
"USGS-NC","9/1/17","19:45:00","","","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.437","Accepted","Actual"
"USGS-NC","11/21/85","15:00:00","","","USGS-02086849","Flood","Falling stage","Phosphorus","Total","0.44","Historical","Actual"
"USGS-NC","12/16/82","14:40:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.46","Historical","Actual"
"USGS-NC","1/18/06","9:30:00","","","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.5","Accepted","Actual"
"USGS-NC","3/1/17","21:30:00","","","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.516","Accepted","Actual"
"USGS-NC","5/14/11","17:15:00","5/14/11","17:30:59","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.582","Accepted","Actual"
"USGS-NC","12/16/82","11:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.6","Historical","Actual"
"USGS-NC","5/5/17","6:10:00","","","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.74","Accepted","Actual"
"USGS-NC","4/15/14","10:50:00","","","USGS-02086849","Routine sample","Stable, high stage","Phosphorus","Total","0.761","Accepted","Actual"
"USGS-NC","12/16/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.84","Historical","Actual"
"USGS-NC","3/28/84","10:55:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","1.9","Historical","Actual"
"USGS-NC","2/20/85","15:50:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","2.2","Historical","Actual"
"USGS-NC","12/4/84","14:40:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","2.4","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","2.8","Historical","Actual"
"USGS-NC","5/3/84","10:30:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","3","Historical","Actual"
"USGS-NC","3/26/85","9:35:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","3.1","Historical","Actual"
"USGS-NC","12/17/85","9:35:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","3.2","Historical","Actual"
"USGS-NC","7/28/86","9:45:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","3.7","Historical","Actual"
"USGS-NC","7/24/84","12:30:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","3.8","Historical","Actual"
"USGS-NC","10/23/85","10:45:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","4.1","Historical","Actual"
"USGS-NC","6/18/84","11:15:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","4.2","Historical","Actual"
"USGS-NC","5/21/84","11:00:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.1","Historical","Actual"
"USGS-NC","5/28/86","9:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.1","Historical","Actual"
"USGS-NC","8/7/84","11:10:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.3","Historical","Actual"
"USGS-NC","10/28/86","9:30:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","5.3","Historical","Actual"
"USGS-NC","11/24/86","8:30:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","5.3","Historical","Actual"
"USGS-NC","5/18/87","9:45:00","","","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","5.4","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.6","Historical","Actual"
"USGS-NC","6/18/86","10:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.7","Historical","Actual"
"USGS-NC","7/10/84","10:15:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","5.8","Historical","Actual"
"USGS-NC","9/24/85","14:00:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.9","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","6.2","Historical","Actual"
"USGS-NC","4/30/85","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","6.2","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","6.4","Historical","Actual"
"USGS-NC","9/23/86","10:15:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","7.2","Historical","Actual"
"USGS-NC","8/18/85","19:45:00","","","USGS-02086849","Flood","Rising stage","Phosphorus","Dissolved","0.09","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","","","USGS-02086849","Flood","Rising stage","Phosphorus","Dissolved","0.13","Historical","Actual"
"USGS-NC","11/21/85","15:00:00","","","USGS-02086849","Flood","Falling stage","Phosphorus","Dissolved","0.16","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Phosphorus","Dissolved","0.17","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Dissolved","0.18","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Phosphorus","Dissolved","2.5","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Phosphorus","Dissolved","2.8","Historical","Actual"
"USGS-NC","5/21/84","11:00:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","5.2","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","5.3","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","","","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","6","Historical","Actual"
"USGS-NC","5/29/14","12:20:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.005","Accepted","Actual"
"USGS-NC","3/27/18","9:30:00","","","USGS-02086833","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.013","Accepted","Actual"
"USGS-NC","3/27/18","11:30:00","","","USGS-02086837","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.014","Accepted","Actual"
"USGS-NC","1/30/12","11:50:00","","","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.017","Preliminary","Actual"
"USGS-NC","7/20/11","11:00:00","","","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.021","Preliminary","Actual"
"USGS-NC","11/28/11","11:30:00","","","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.023","Preliminary","Actual"
"USGS-NC","9/2/11","12:55:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.027","Preliminary","Actual"
"USGS-NC","7/12/16","14:40:00","","","USGS-02086845","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.038","Accepted","Actual"
"USGS-NC","7/12/16","14:10:00","","","USGS-02086843","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.039","Accepted","Actual"
"USGS-NC","6/29/12","12:40:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.039","Preliminary","Actual"
"USGS-NC","7/12/16","13:00:00","","","USGS-02086839","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.04","Accepted","Actual"
"USGS-NC","7/12/16","10:25:00","","","USGS-02086833","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.043","Accepted","Actual"
"USGS-NC","12/29/11","11:15:00","","","USGS-0208675010","Routine sample","Falling stage","Orthophosphate","Dissolved","0.045","Preliminary","Actual"
"USGS-NC","9/28/11","11:45:00","","","USGS-0208675010","Routine sample","Falling stage","Orthophosphate","Dissolved","0.048","Preliminary","Actual"
"USGS-NC","5/14/11","17:15:00","5/14/11","17:30:59","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.048","Accepted","Actual"
"USGS-NC","7/12/16","11:20:00","","","USGS-360211078513701","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.048","Accepted","Actual"
"USGS-NC","6/10/14","9:30:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.049","Accepted","Actual"
"USGS-NC","5/30/12","12:30:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.05","Preliminary","Actual"
"USGS-NC","5/12/14","16:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.05","Accepted","Actual"
"USGS-NC","4/15/14","10:50:00","","","USGS-02086849","Routine sample","Stable, high stage","Orthophosphate","Dissolved","0.056","Accepted","Actual"
"USGS-NC","1/6/09","11:15:00","","","USGS-02086849","Storm","Peak stage","Orthophosphate","Dissolved","0.058","Accepted","Actual"
"USGS-NC","8/18/85","19:45:00","","","USGS-02086849","Flood","Rising stage","Orthophosphate","Dissolved","0.08","Historical","Actual"
"USGS-NC","11/11/09","11:00:00","","","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.088","Accepted","Actual"
"USGS-NC","1/18/06","9:30:00","","","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.098","Accepted","Actual"
"USGS-NC","9/26/08","11:15:00","","","USGS-02086849","Storm","Falling stage","Orthophosphate","Dissolved","0.101","Accepted","Actual"
"USGS-NC","11/21/85","15:00:00","","","USGS-02086849","Flood","Falling stage","Orthophosphate","Dissolved","0.11","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","","","USGS-02086849","Flood","Rising stage","Orthophosphate","Dissolved","0.13","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Orthophosphate","Dissolved","0.15","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.15","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","2.5","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","","","USGS-02086849","Routine sample","Rising stage","Orthophosphate","Dissolved","2.8","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","","","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","5.2","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","","","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","5.9","Historical","Actual"
"USGS-NC","8/18/85","19:45:00","","","USGS-02086849","Flood","Rising stage","Hardness, Ca, Mg","","12.2","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","","","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg","","16","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","","","USGS-02086849","Flood","Rising stage","Hardness, Ca, Mg","","16.6","Historical","Actual"
"USGS-NC","9/26/08","11:15:00","","","USGS-02086849","Storm","Falling stage","Hardness, Ca, Mg","","16.7","Accepted","Actual"
"USGS-NC","11/21/85","15:00:00","","","USGS-02086849","Flood","Falling stage","Hardness, Ca, Mg","","17","Historical","Actual"
"USGS-NC","11/11/09","11:00:00","","","USGS-02086849","Storm","Rising stage","Hardness, Ca, Mg","","21.3","Accepted","Actual"
"USGS-NC","2/24/87","9:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Hardness, Ca, Mg","","23","Historical","Actual"
"USGS-NC","12/16/82","14:40:00","","","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg","","24","Historical","Actual"
"USGS-NC","4/16/87","11:00:00","","","USGS-02086849","Routine sample","Falling stage","Hardness, Ca, Mg","","25.4","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Hardness, Ca, Mg","","26.5","Historical","Actual"
"USGS-NC","4/15/14","10:50:00","","","USGS-02086849","Routine sample","Stable, high stage","Hardness, Ca, Mg","","27.3","Accepted","Actual"
"USGS-NC","1/6/09","11:15:00","","","USGS-02086849","Storm","Peak stage","Hardness, Ca, Mg","","35.5","Accepted","Actual"
"USGS-NC","5/14/11","17:15:00","5/14/11","17:30:59","USGS-02086849","Storm","Rising stage","Hardness, Ca, Mg","","36","Accepted","Actual"
"USGS-NC","9/24/85","14:00:00","","","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg","","39","Historical","Actual"
"USGS-NC","10/23/85","10:45:00","","","USGS-02086849","Routine sample","Falling stage","Hardness, Ca, Mg","","42","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","","","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg","","43.9","Historical","Actual"
