"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC",2016-07-12,"13:10:00",NA,"","USGS-360226078512801","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.78","Accepted","Actual"
"USGS-NC",2016-07-12,"9:45:00",NA,"","USGS-0208682450","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.02","Accepted","Actual"
"USGS-NC",2014-05-20,"14:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.78","Accepted","Actual"
"USGS-NC",2016-07-12,"15:20:00",NA,"","USGS-02086841","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.84","Accepted","Actual"
"USGS-NC",2016-07-12,"11:45:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.92","Accepted","Actual"
"USGS-NC",2016-07-12,"11:00:00",NA,"","USGS-02086835","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.06","Accepted","Actual"
"USGS-NC",2014-06-03,"9:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.26","Accepted","Actual"
"USGS-NC",2014-04-08,"13:30:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.32","Accepted","Actual"
"USGS-NC",2014-04-29,"12:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.42","Accepted","Actual"
"USGS-NC",2014-05-06,"15:20:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.71","Accepted","Actual"
"USGS-NC",2014-04-23,"10:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","4.57","Accepted","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","124","Historical","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","138","Accepted","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","172","Historical","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","197","Historical","Actual"
"USGS-NC",1986-03-25,"9:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","199","Historical","Actual"
"USGS-NC",2016-07-12,"9:45:00",NA,"","USGS-0208682450","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","200","Accepted","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","201","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","203","Historical","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","223","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","223","Historical","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","224","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","226","Historical","Actual"
"USGS-NC",2016-07-12,"15:20:00",NA,"","USGS-02086841","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","233","Accepted","Actual"
"USGS-NC",2016-07-12,"11:00:00",NA,"","USGS-02086835","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","243","Accepted","Actual"
"USGS-NC",1984-10-23,"14:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","244","Historical","Actual"
"USGS-NC",2016-07-12,"11:45:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","247","Accepted","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","271","Historical","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","299","Historical","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","30","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","301","Historical","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","307","Historical","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","326","Historical","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","370","Historical","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","373","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","48","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","51","Historical","Actual"
"USGS-NC",2008-09-06,"12:45:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","61","Accepted","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","62","Accepted","Actual"
"USGS-NC",2010-09-27,"3:45:00",2010-09-27,"8:00:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","66","Accepted","Actual"
"USGS-NC",1985-01-03,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","69","Historical","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","71","Accepted","Actual"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","85","Historical","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","101","Historical","Actual"
"USGS-NC",2018-03-27,"11:00:00",NA,"","USGS-360211078513701","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","113","Accepted","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","118","Accepted","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","140","Historical","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","147","Historical","Actual"
"USGS-NC",2018-03-27,"12:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","159","Accepted","Actual"
"USGS-NC",2016-07-12,"9:45:00",NA,"","USGS-0208682450","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","170","Accepted","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","177","Historical","Actual"
"USGS-NC",1984-10-23,"14:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","191","Historical","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","198","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","204","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","213","Historical","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","217","Historical","Actual"
"USGS-NC",1986-03-25,"9:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","217","Historical","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","219","Historical","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","223","Historical","Actual"
"USGS-NC",2016-07-12,"11:45:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","229","Accepted","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","231","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","231","Historical","Actual"
"USGS-NC",2016-07-12,"11:00:00",NA,"","USGS-02086835","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","235","Accepted","Actual"
"USGS-NC",2016-07-12,"15:20:00",NA,"","USGS-02086841","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","235","Accepted","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","248","Historical","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","27","Historical","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","278","Historical","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","293","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","299","Historical","Actual"
"USGS-NC",2008-09-06,"12:45:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","33","Accepted","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","35","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","43","Historical","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","46","Accepted","Estimated"
"USGS-NC",1985-01-03,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","47","Historical","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","51","Accepted","Actual"
"USGS-NC",2010-09-27,"3:45:00",2010-09-27,"8:00:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","58","Accepted","Estimated"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","67","Historical","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","10","Historical","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","12.6","Historical","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","13.8","Historical","Actual"
"USGS-NC",1985-01-03,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","150","Historical","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","160","Accepted","Actual"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","17.9","Historical","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","182","Accepted","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","195","Historical","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","225","Accepted","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","238","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","257","Historical","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","3.1","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","31.1","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","3.74","Historical","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","4.14","Historical","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","4.33","Historical","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","47.8","Historical","Actual"
"USGS-NC",2010-09-27,"3:45:00",2010-09-27,"8:00:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","57","Accepted","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","6.51","Historical","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","6.59","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","7.13","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","7.23","Historical","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","7.86","Historical","Actual"
"USGS-NC",1986-03-25,"9:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","8.6","Historical","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","8.63","Historical","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","9.69","Historical","Actual"
"USGS-NC",1984-10-23,"14:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","9.88","Historical","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","0.04","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","0.07","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","0.07","Historical","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","0.08","Accepted","Actual"
"USGS-NC",2008-09-06,"12:45:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","0.08","Accepted","Actual"
"USGS-NC",1985-01-03,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.09","Historical","Actual"
"USGS-NC",2010-09-27,"3:45:00",2010-09-27,"8:00:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","0.09","Accepted","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","0.1","Accepted","Actual"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","0.12","Historical","Actual"
"USGS-NC",2018-03-27,"11:00:00",NA,"","USGS-360211078513701","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.15","Accepted","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.17","Historical","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","0.19","Accepted","Actual"
"USGS-NC",2018-03-27,"12:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.22","Accepted","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","0.23","Historical","Actual"
"USGS-NC",2016-07-12,"9:45:00",NA,"","USGS-0208682450","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.27","Accepted","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","0.27","Historical","Actual"
"USGS-NC",1986-03-25,"9:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","0.27","Historical","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","0.27","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","0.28","Historical","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.3","Historical","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.3","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.3","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","0.31","Historical","Actual"
"USGS-NC",2016-07-12,"15:20:00",NA,"","USGS-02086841","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.32","Accepted","Actual"
"USGS-NC",1984-10-23,"14:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.33","Historical","Actual"
"USGS-NC",2016-07-12,"11:00:00",NA,"","USGS-02086835","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.33","Accepted","Actual"
"USGS-NC",2016-07-12,"11:45:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.34","Accepted","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.37","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.41","Historical","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","0.41","Historical","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.42","Historical","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","0.44","Historical","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.5","Historical","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.51","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Phosphorus","Total","0.43","Historical","Actual"
"USGS-NC",1983-03-18,"17:25:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.64","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.77","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","10","Historical","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","1.3","Historical","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","14","Historical","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","15","Historical","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","16","Historical","Actual"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","1.6","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","17","Historical","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","18","Historical","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","18","Historical","Actual"
"USGS-NC",1984-03-14,"12:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","2.3","Historical","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","3.1","Historical","Actual"
"USGS-NC",1984-04-09,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","4.3","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","52","Historical","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","5.8","Historical","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","7.7","Historical","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","100","Historical","Actual"
"USGS-NC",1985-01-03,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","15","Historical","Actual"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","15","Historical","Actual"
"USGS-NC",1984-03-14,"12:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","18","Historical","Actual"
"USGS-NC",1984-04-09,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","41","Historical","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","41","Historical","Actual"
"USGS-NC",1987-01-08,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","44","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","47","Historical","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","47","Historical","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","47","Historical","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","5","Historical","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","53","Historical","Actual"
"USGS-NC",1983-03-18,"17:25:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","5.3","Historical","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","58","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","58","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","60","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","61","Historical","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","61","Historical","Actual"
"USGS-NC",1984-10-23,"14:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","62","Historical","Actual"
